Sistema de Informa��es Hidrol�gicas
Vers�o Web 3.0
� 2018 Ag�ncia Nacional de �guas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = N�o, 1 = Sim
TipoMedicaoCotas: 1 = Escala, 2 = Lin�grafo, 3 = Data Logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = R�gua Seca

Restri��es da consulta:
C�digo da Esta��o:12351000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;TipoMedicaoCotas;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Cota01;Cota02;Cota03;Cota04;Cota05;Cota06;Cota07;Cota08;Cota09;Cota10;Cota11;Cota12;Cota13;Cota14;Cota15;Cota16;Cota17;Cota18;Cota19;Cota20;Cota21;Cota22;Cota23;Cota24;Cota25;Cota26;Cota27;Cota28;Cota29;Cota30;Cota31;Cota01Status;Cota02Status;Cota03Status;Cota04Status;Cota05Status;Cota06Status;Cota07Status;Cota08Status;Cota09Status;Cota10Status;Cota11Status;Cota12Status;Cota13Status;Cota14Status;Cota15Status;Cota16Status;Cota17Status;Cota18Status;Cota19Status;Cota20Status;Cota21Status;Cota22Status;Cota23Status;Cota24Status;Cota25Status;Cota26Status;Cota27Status;Cota28Status;Cota29Status;Cota30Status;Cota31Status;
12351000;1;01/02/2023;01/01/1900 07:00:00;0;1;1864;1724;1775;28;1;0;0;0;;0;1724;1740;1750;1756;1758;1758;1756;1756;1752;1748;1745;1742;1745;1747;1749;1754;1757;1762;1767;1784;1792;1805;1812;1823;1834;1842;1858;1861;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
12351000;1;01/02/2023;01/01/1900 17:00:00;0;1;1864;1724;1775;28;1;0;0;0;;0;1729;1746;1753;1757;1758;1758;1756;1754;1750;1747;1743;1742;1745;1748;1751;1754;1759;1764;1774;1788;1798;1808;1817;1828;1838;1846;1856;1864;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
12351000;1;01/02/2023;;1;1;1864;1724;1775;28;1;0;0;0;;0;1727;1743;1752;1757;1758;1758;1756;1755;1751;1748;1744;1742;1745;1748;1750;1754;1758;1763;1771;1786;1795;1807;1815;1826;1836;1844;1857;1863;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
12351000;1;01/01/2023;;1;1;1718;1352;1481;31;1;0;0;0;;0;1353;1356;1357;1358;1358;1359;1358;1359;1356;1356;1359;1367;1378;1392;1410;1431;1457;1481;1506;1535;1559;1581;1600;1615;1627;1640;1653;1668;1683;1698;1715;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/01/2023;01/01/1900 07:00:00;0;1;1718;1352;1481;31;1;0;0;0;;0;1352;1356;1357;1358;1358;1359;1358;1360;1356;1356;1358;1365;1375;1388;1405;1424;1451;1475;1498;1530;1554;1576;1595;1612;1624;1636;1650;1664;1680;1694;1712;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/01/2023;01/01/1900 17:00:00;0;1;1718;1352;1481;31;1;0;0;0;;0;1354;1356;1357;1358;1358;1359;1358;1358;1356;1356;1360;1369;1381;1396;1414;1437;1462;1486;1513;1540;1564;1585;1605;1618;1630;1643;1656;1672;1686;1702;1718;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/12/2022;01/01/1900 07:00:00;0;1;1428;1240;1328;5;20;0;0;0;;0;1388;1403;1416;1424;1428;1428;1422;1413;1402;1384;1364;1342;1325;1304;1285;1273;1262;1255;1247;1240;1240;1244;1250;1262;1276;1284;1296;1310;1322;1334;1346;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/12/2022;01/01/1900 17:00:00;0;1;1428;1240;1328;5;20;0;0;0;;0;1395;1409;1420;1426;1428;1426;1418;1408;1393;1375;1353;1334;1316;1295;1279;1268;1258;1251;1244;1240;1242;1247;1254;1266;1280;1289;1302;1316;1327;1340;1342;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/12/2022;;1;1;1428;1240;1328;5;20;0;0;0;;0;1392;1406;1418;1425;1428;1427;1420;1411;1398;1380;1359;1338;1321;1300;1282;1271;1260;1253;1246;1240;1241;1246;1252;1264;1278;1287;1299;1313;1325;1337;1344;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
12351000;1;01/11/2022;;1;1;1444;1258;1362;8;24;0;0;0;;0;1346;1366;1388;1404;1422;1434;1442;1444;1444;1438;1430;1424;1416;1408;1396;1382;1365;1346;1326;1306;1299;1278;1268;1258;1260;1269;1288;1310;1340;1364;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
