dt,value,dy,mn,yr
2011-05-01,2027,1,5,2011
2011-05-02,2033,2,5,2011
2011-05-03,2039,3,5,2011
2011-05-04,2045,4,5,2011
2011-05-05,2048,5,5,2011
2011-05-06,2049,6,5,2011
2011-05-07,2053,7,5,2011
2011-05-08,2057,8,5,2011
2011-05-09,2061,9,5,2011
2011-05-10,2065,10,5,2011
2011-05-11,2068,11,5,2011
2011-05-12,2072,12,5,2011
2011-05-13,2075,13,5,2011
2011-05-14,2079,14,5,2011
2011-05-15,2084,15,5,2011
2011-05-16,2089,16,5,2011
2011-05-17,2093,17,5,2011
2011-05-18,2097,18,5,2011
2011-05-19,2100,19,5,2011
2011-05-20,2104,20,5,2011
2011-05-21,2105,21,5,2011
2011-05-22,2106,22,5,2011
2011-05-23,2106,23,5,2011
2011-05-24,2108,24,5,2011
2011-05-25,2109,25,5,2011
2011-05-26,2110,26,5,2011
2011-05-27,2112,27,5,2011
2011-05-28,2114,28,5,2011
2011-05-29,2117,29,5,2011
2011-05-30,2118,30,5,2011
2011-05-31,2119,31,5,2011
2011-06-01,2120,1,6,2011
2011-06-02,2121,2,6,2011
2011-06-03,2121,3,6,2011
2011-06-04,2120,4,6,2011
2011-06-05,2120,5,6,2011
2011-06-06,2120,6,6,2011
2011-06-07,2120,7,6,2011
2011-06-08,2119,8,6,2011
2011-06-09,2116,9,6,2011
2011-06-10,2116,10,6,2011
2011-06-11,2114,11,6,2011
2011-06-12,2111,12,6,2011
2011-06-13,2112,13,6,2011
2011-06-14,2112,14,6,2011
2011-06-15,2111,15,6,2011
2011-06-16,2109,16,6,2011
2011-06-17,2107,17,6,2011
2011-06-18,2106,18,6,2011
2011-06-19,2104,19,6,2011
2011-06-20,2100,20,6,2011
2011-06-21,2097,21,6,2011
2011-06-22,2094,22,6,2011
2011-06-23,2089,23,6,2011
2011-06-24,2086,24,6,2011
2011-06-25,2084,25,6,2011
2011-06-26,2081,26,6,2011
2011-06-27,2077,27,6,2011
2011-06-28,2072,28,6,2011
2011-06-29,2068,29,6,2011
2011-06-30,2063,30,6,2011
2011-07-01,2058,1,7,2011
2011-07-02,2053,2,7,2011
2011-07-03,2046,3,7,2011
2011-07-04,2041,4,7,2011
2011-07-05,2036,5,7,2011
2011-07-06,2027,6,7,2011
2011-07-07,2022,7,7,2011
2011-07-08,2017,8,7,2011
2011-07-09,2011,9,7,2011
2011-07-10,2004,10,7,2011
2011-07-11,1998,11,7,2011
2011-07-12,1992,12,7,2011
2011-07-13,1987,13,7,2011
2011-07-14,1982,14,7,2011
2011-07-15,1976,15,7,2011
2011-07-16,1971,16,7,2011
2011-07-17,1966,17,7,2011
2011-07-18,1961,18,7,2011
2011-07-19,1956,19,7,2011
2011-07-20,1951,20,7,2011
2011-07-21,1945,21,7,2011
2011-07-22,1939,22,7,2011
2011-07-23,1933,23,7,2011
2011-07-24,1927,24,7,2011
2011-07-25,1918,25,7,2011
2011-07-26,1910,26,7,2011
2011-07-27,1903,27,7,2011
2011-07-28,1895,28,7,2011
2011-07-29,1883,29,7,2011
2011-07-30,1872,30,7,2011
2011-07-31,1861,31,7,2011
2011-08-01,1848,1,8,2011
2011-08-02,1835,2,8,2011
2011-08-03,1822,3,8,2011
2011-08-04,1809,4,8,2011
2011-08-05,1796,5,8,2011
2011-08-06,1782,6,8,2011
2011-08-07,1766,7,8,2011
2011-08-08,1749,8,8,2011
2011-08-09,1732,9,8,2011
2011-08-10,1713,10,8,2011
2011-08-11,1693,11,8,2011
2011-08-12,1672,12,8,2011
2011-08-13,1649,13,8,2011
2011-08-14,1629,14,8,2011
2011-08-15,1607,15,8,2011
2011-08-16,1587,16,8,2011
2011-08-17,1566,17,8,2011
2011-08-18,1547,18,8,2011
2011-08-19,1527,19,8,2011
2011-08-20,1507,20,8,2011
2011-08-21,1487,21,8,2011
2011-08-22,1465,22,8,2011
2011-08-23,1445,23,8,2011
2011-08-24,1413,24,8,2011
2011-08-25,1386,25,8,2011
2011-08-26,1358,26,8,2011
2011-08-27,1326,27,8,2011
2011-08-28,1294,28,8,2011
2011-08-29,1259,29,8,2011
2011-08-30,1223,30,8,2011
2011-08-31,1187,31,8,2011
2011-09-01,1154,1,9,2011
2011-09-02,1124,2,9,2011
2011-09-03,1109,3,9,2011
2011-09-04,1087,4,9,2011
2011-09-05,1071,5,9,2011
2011-09-06,1057,6,9,2011
2011-09-07,1044,7,9,2011
2011-09-08,1031,8,9,2011
2011-09-09,1018,9,9,2011
2011-09-10,1011,10,9,2011
2011-09-11,1007,11,9,2011
2011-09-12,1009,12,9,2011
2011-09-13,1015,13,9,2011
2011-09-14,1022,14,9,2011
2011-09-15,1026,15,9,2011
2011-09-16,1030,16,9,2011
2011-09-17,1030,17,9,2011
2011-09-18,1026,18,9,2011
2011-09-19,1023,19,9,2011
2011-09-20,1022,20,9,2011
2011-09-21,1018,21,9,2011
2011-09-22,1017,22,9,2011
2011-09-23,1022,23,9,2011
2011-09-24,1032,24,9,2011
2011-09-25,1043,25,9,2011
2011-09-26,1057,26,9,2011
2011-09-27,1076,27,9,2011
2011-09-28,1090,28,9,2011
2011-09-29,1101,29,9,2011
2011-09-30,1113,30,9,2011
2011-10-01,1128,1,10,2011
2011-10-02,1141,2,10,2011
2011-10-03,1157,3,10,2011
2011-10-04,1179,4,10,2011
2011-10-05,1199,5,10,2011
2011-10-06,1224,6,10,2011
2011-10-07,1256,7,10,2011
2011-10-08,1283,8,10,2011
2011-10-09,1313,9,10,2011
2011-10-10,1335,10,10,2011
2011-10-11,1350,11,10,2011
2011-10-12,1360,12,10,2011
2011-10-13,1366,13,10,2011
2011-10-14,1372,14,10,2011
2011-10-15,1375,15,10,2011
2011-10-16,1379,16,10,2011
2011-10-17,1385,17,10,2011
2011-10-18,1392,18,10,2011
2011-10-19,1396,19,10,2011
2011-10-20,1398,20,10,2011
2011-10-21,1399,21,10,2011
2011-10-22,1396,22,10,2011
2011-10-23,1389,23,10,2011
2011-10-24,1377,24,10,2011
2011-10-25,1365,25,10,2011
2011-10-26,1350,26,10,2011
2011-10-27,1332,27,10,2011
2011-10-28,1315,28,10,2011
2011-10-29,1296,29,10,2011
2011-10-30,1275,30,10,2011
2011-10-31,1255,31,10,2011
2011-11-01,1237,1,11,2011
2011-11-02,1218,2,11,2011
2011-11-03,1206,3,11,2011
2011-11-04,1195,4,11,2011
2011-11-05,1188,5,11,2011
2011-11-06,1184,6,11,2011
2011-11-07,1182,7,11,2011
2011-11-08,1183,8,11,2011
2011-11-09,1188,9,11,2011
2011-11-10,1187,10,11,2011
2011-11-11,1188,11,11,2011
2011-11-12,1187,12,11,2011
2011-11-13,1186,13,11,2011
2011-11-14,1184,14,11,2011
2011-11-15,1185,15,11,2011
2011-11-16,1197,16,11,2011
2011-11-17,1218,17,11,2011
2011-11-18,1241,18,11,2011
2011-11-19,1269,19,11,2011
2011-11-20,1296,20,11,2011
2011-11-21,1323,21,11,2011
2011-11-22,1351,22,11,2011
2011-11-23,1375,23,11,2011
2011-11-24,1394,24,11,2011
2011-11-25,1407,25,11,2011
2011-11-26,1422,26,11,2011
2011-11-27,1433,27,11,2011
2011-11-28,1445,28,11,2011
2011-11-29,1456,29,11,2011
2011-11-30,1461,30,11,2011
2011-12-01,1465,1,12,2011
2011-12-02,1469,2,12,2011
2011-12-03,1477,3,12,2011
2011-12-04,1483,4,12,2011
2011-12-05,1489,5,12,2011
2011-12-06,1495,6,12,2011
2011-12-07,1504,7,12,2011
2011-12-08,1512,8,12,2011
2011-12-09,1519,9,12,2011
2011-12-10,1527,10,12,2011
2011-12-11,1534,11,12,2011
2011-12-12,1546,12,12,2011
2011-12-13,1553,13,12,2011
2011-12-14,1562,14,12,2011
2011-12-15,1568,15,12,2011
2011-12-16,1575,16,12,2011
2011-12-17,1581,17,12,2011
2011-12-18,1588,18,12,2011
2011-12-19,1596,19,12,2011
2011-12-20,1602,20,12,2011
2011-12-21,1611,21,12,2011
2011-12-22,1618,22,12,2011
2011-12-23,1627,23,12,2011
2011-12-24,1639,24,12,2011
2011-12-25,1650,25,12,2011
2011-12-26,1662,26,12,2011
2011-12-27,1684,27,12,2011
2011-12-28,1704,28,12,2011
2011-12-29,1722,29,12,2011
2011-12-30,1738,30,12,2011
2011-12-31,1755,31,12,2011
2012-01-01,1770,1,1,2012
2012-01-02,1780,2,1,2012
2012-01-03,1796,3,1,2012
2012-01-04,1807,4,1,2012
2012-01-05,1817,5,1,2012
2012-01-06,1831,6,1,2012
2012-01-07,1843,7,1,2012
2012-01-08,1853,8,1,2012
2012-01-09,1868,9,1,2012
2012-01-10,1876,10,1,2012
2012-01-11,1887,11,1,2012
2012-01-12,1894,12,1,2012
2012-01-13,1899,13,1,2012
2012-01-14,1906,14,1,2012
2012-01-15,1914,15,1,2012
2012-01-16,1922,16,1,2012
2012-01-17,1928,17,1,2012
2012-01-18,1932,18,1,2012
2012-01-19,1938,19,1,2012
2012-01-20,1946,20,1,2012
2012-01-21,1952,21,1,2012
2012-01-22,1957,22,1,2012
2012-01-23,1963,23,1,2012
2012-01-24,1970,24,1,2012
2012-01-25,1973,25,1,2012
2012-01-26,1977,26,1,2012
2012-01-27,1986,27,1,2012
2012-01-28,1989,28,1,2012
2012-01-29,1996,29,1,2012
2012-01-30,1997,30,1,2012
2012-01-31,1999,31,1,2012
2012-02-01,2001,1,2,2012
2012-02-02,2002,2,2,2012
2012-02-03,2003,3,2,2012
2012-02-04,2005,4,2,2012
2012-02-05,2007,5,2,2012
2012-02-06,2010,6,2,2012
2012-02-07,2011,7,2,2012
2012-02-08,2012,8,2,2012
2012-02-09,2014,9,2,2012
2012-02-10,2017,10,2,2012
2012-02-11,2019,11,2,2012
2012-02-12,2020,12,2,2012
2012-02-13,2021,13,2,2012
2012-02-14,2021,14,2,2012
2012-02-15,2022,15,2,2012
2012-02-16,2023,16,2,2012
2012-02-17,2024,17,2,2012
2012-02-18,2026,18,2,2012
2012-02-19,2027,19,2,2012
2012-02-20,2031,20,2,2012
2012-02-21,2032,21,2,2012
2012-02-22,2035,22,2,2012
2012-02-23,2037,23,2,2012
2012-02-24,2037,24,2,2012
2012-02-25,2041,25,2,2012
2012-02-26,2043,26,2,2012
2012-02-27,2044,27,2,2012
2012-02-28,2046,28,2,2012
2012-03-01,2048,1,3,2012
2012-03-02,2050,2,3,2012
2012-03-03,2051,3,3,2012
2012-03-04,2052,4,3,2012
2012-03-05,2054,5,3,2012
2012-03-06,2054,6,3,2012
2012-03-07,2056,7,3,2012
2012-03-08,2058,8,3,2012
2012-03-09,2062,9,3,2012
2012-03-10,2065,10,3,2012
2012-03-11,2069,11,3,2012
2012-03-12,2071,12,3,2012
2012-03-13,2073,13,3,2012
2012-03-14,2076,14,3,2012
2012-03-15,2080,15,3,2012
2012-03-16,2083,16,3,2012
2012-03-17,2085,17,3,2012
2012-03-18,2088,18,3,2012
2012-03-19,2092,19,3,2012
2012-03-20,2094,20,3,2012
2012-03-21,2098,21,3,2012
2012-03-22,2101,22,3,2012
2012-03-23,2102,23,3,2012
2012-03-24,2105,24,3,2012
2012-03-25,2107,25,3,2012
2012-03-26,2111,26,3,2012
2012-03-27,2114,27,3,2012
2012-03-28,2115,28,3,2012
2012-03-29,2117,29,3,2012
2012-03-30,2120,30,3,2012
2012-03-31,2125,31,3,2012
2012-04-01,2126,1,4,2012
2012-04-02,2129,2,4,2012
2012-04-03,2132,3,4,2012
2012-04-04,2135,4,4,2012
2012-04-05,2138,5,4,2012
2012-04-06,2143,6,4,2012
2012-04-07,2147,7,4,2012
2012-04-08,2148,8,4,2012
2012-04-09,2151,9,4,2012
2012-04-10,2152,10,4,2012
2012-04-11,2155,11,4,2012
2012-04-12,2158,12,4,2012
2012-04-13,2161,13,4,2012
2012-04-14,2163,14,4,2012
2012-04-15,2163,15,4,2012
2012-04-16,2165,16,4,2012
2012-04-17,2168,17,4,2012
2012-04-18,2170,18,4,2012
2012-04-19,2172,19,4,2012
2012-04-20,2174,20,4,2012
2012-04-21,2176,21,4,2012
2012-04-22,2178,22,4,2012
2012-04-23,2181,23,4,2012
2012-04-24,2185,24,4,2012
2012-04-25,2187,25,4,2012
2012-04-26,2189,26,4,2012
2012-04-27,2190,27,4,2012
2012-04-28,2193,28,4,2012
2012-04-29,2194,29,4,2012
2012-04-30,2198,30,4,2012
2012-05-01,2199,1,5,2012
2012-05-02,2202,2,5,2012
2012-05-03,2202,3,5,2012
2012-05-04,2206,4,5,2012
2012-05-05,2207,5,5,2012
2012-05-06,2208,6,5,2012
2012-05-07,2208,7,5,2012
2012-05-08,2210,8,5,2012
2012-05-09,2212,9,5,2012
2012-05-10,2212,10,5,2012
2012-05-11,2213,11,5,2012
2012-05-12,2213,12,5,2012
2012-05-13,2213,13,5,2012
2012-05-14,2212,14,5,2012
2012-05-15,2212,15,5,2012
2012-05-16,2213,16,5,2012
2012-05-17,2212,17,5,2012
2012-05-18,2212,18,5,2012
2012-05-19,2212,19,5,2012
2012-05-20,2212,20,5,2012
2012-05-21,2212,21,5,2012
2012-05-22,2212,22,5,2012
2012-05-23,2212,23,5,2012
2012-05-24,2212,24,5,2012
2012-05-25,2211,25,5,2012
2012-05-26,2210,26,5,2012
2012-05-27,2208,27,5,2012
2012-05-28,2208,28,5,2012
2012-05-29,2206,29,5,2012
2012-05-30,2206,30,5,2012
2012-05-31,2205,31,5,2012
2012-06-01,2204,1,6,2012
2012-06-02,2204,2,6,2012
2012-06-03,2202,3,6,2012
2012-06-04,2202,4,6,2012
2012-06-05,2200,5,6,2012
2012-06-06,2198,6,6,2012
2012-06-07,2196,7,6,2012
2012-06-08,2194,8,6,2012
2012-06-09,2192,9,6,2012
2012-06-10,2190,10,6,2012
2012-06-11,2186,11,6,2012
2012-06-12,2186,12,6,2012
2012-06-13,2183,13,6,2012
2012-06-14,2180,14,6,2012
2012-06-15,2179,15,6,2012
2012-06-16,2176,16,6,2012
2012-06-17,2174,17,6,2012
2012-06-18,2171,18,6,2012
2012-06-19,2167,19,6,2012
2012-06-20,2162,20,6,2012
2012-06-21,2157,21,6,2012
2012-06-22,2152,22,6,2012
2012-06-23,2147,23,6,2012
2012-06-24,2144,24,6,2012
2012-06-25,2139,25,6,2012
2012-06-26,2134,26,6,2012
2012-06-27,2130,27,6,2012
2012-06-28,2121,28,6,2012
2012-06-29,2112,29,6,2012
2012-06-30,2104,30,6,2012
2012-07-01,2091,1,7,2012
2012-07-02,2079,2,7,2012
2012-07-03,2067,3,7,2012
2012-07-04,2053,4,7,2012
2012-07-05,2044,5,7,2012
2012-07-06,2033,6,7,2012
2012-07-07,2022,7,7,2012
2012-07-08,2010,8,7,2012
2012-07-09,2000,9,7,2012
2012-07-10,1988,10,7,2012
2012-07-11,1978,11,7,2012
2012-07-12,1967,12,7,2012
2012-07-13,1957,13,7,2012
2012-07-14,1946,14,7,2012
2012-07-15,1934,15,7,2012
2012-07-16,1921,16,7,2012
2012-07-17,1910,17,7,2012
2012-07-18,1899,18,7,2012
2012-07-19,1889,19,7,2012
2012-07-20,1878,20,7,2012
2012-07-21,1866,21,7,2012
2012-07-22,1855,22,7,2012
2012-07-23,1843,23,7,2012
2012-07-24,1829,24,7,2012
2012-07-25,1814,25,7,2012
2012-07-26,1799,26,7,2012
2012-07-27,1784,27,7,2012
2012-07-28,1769,28,7,2012
2012-07-29,1753,29,7,2012
2012-07-30,1740,30,7,2012
2012-07-31,1727,31,7,2012
2012-08-01,1713,1,8,2012
2012-08-02,1699,2,8,2012
2012-08-03,1684,3,8,2012
2012-08-04,1666,4,8,2012
2012-08-05,1649,5,8,2012
2012-08-06,1628,6,8,2012
2012-08-07,1607,7,8,2012
2012-08-08,1582,8,8,2012
2012-08-09,1559,9,8,2012
2012-08-10,1537,10,8,2012
2012-08-11,1515,11,8,2012
2012-08-12,1491,12,8,2012
2012-08-13,1470,13,8,2012
2012-08-14,1448,14,8,2012
2012-08-15,1426,15,8,2012
2012-08-16,1406,16,8,2012
2012-08-17,1386,17,8,2012
2012-08-18,1368,18,8,2012
2012-08-19,1348,19,8,2012
2012-08-20,1330,20,8,2012
2012-08-21,1312,21,8,2012
2012-08-22,1294,22,8,2012
2012-08-23,1279,23,8,2012
2012-08-24,1264,24,8,2012
2012-08-25,1252,25,8,2012
2012-08-26,1241,26,8,2012
2012-08-27,1232,27,8,2012
2012-08-28,1226,28,8,2012
2012-08-29,1217,29,8,2012
2012-08-30,1208,30,8,2012
2012-08-31,1200,31,8,2012
2012-09-01,1195,1,9,2012
2012-09-02,1187,2,9,2012
2012-09-03,1178,3,9,2012
2012-09-04,1169,4,9,2012
2012-09-05,1161,5,9,2012
2012-09-06,1156,6,9,2012
2012-09-07,1155,7,9,2012
2012-09-08,1163,8,9,2012
2012-09-09,1178,9,9,2012
2012-09-10,1193,10,9,2012
2012-09-11,1207,11,9,2012
2012-09-12,1217,12,9,2012
2012-09-13,1222,13,9,2012
2012-09-14,1221,14,9,2012
2012-09-15,1221,15,9,2012
2012-09-16,1216,16,9,2012
2012-09-17,1207,17,9,2012
2012-09-18,1199,18,9,2012
2012-09-19,1188,19,9,2012
2012-09-20,1178,20,9,2012
2012-09-21,1168,21,9,2012
2012-09-22,1158,22,9,2012
2012-09-23,1147,23,9,2012
2012-09-24,1136,24,9,2012
2012-09-25,1125,25,9,2012
2012-09-26,1112,26,9,2012
2012-09-27,1102,27,9,2012
2012-09-28,1088,28,9,2012
2012-09-29,1079,29,9,2012
2012-09-30,1079,30,9,2012
2012-10-01,1085,1,10,2012
2012-10-02,1099,2,10,2012
2012-10-03,1118,3,10,2012
2012-10-04,1138,4,10,2012
2012-10-05,1160,5,10,2012
2012-10-06,1178,6,10,2012
2012-10-07,1196,7,10,2012
2012-10-08,1208,8,10,2012
2012-10-09,1217,9,10,2012
2012-10-10,1220,10,10,2012
2012-10-11,1220,11,10,2012
2012-10-12,1217,12,10,2012
2012-10-13,1210,13,10,2012
2012-10-14,1203,14,10,2012
2012-10-15,1195,15,10,2012
2012-10-16,1190,16,10,2012
2012-10-17,1191,17,10,2012
2012-10-18,1204,18,10,2012
2012-10-19,1221,19,10,2012
2012-10-20,1238,20,10,2012
2012-10-21,1258,21,10,2012
2012-10-22,1276,22,10,2012
2012-10-23,1294,23,10,2012
2012-10-24,1309,24,10,2012
2012-10-25,1320,25,10,2012
2012-10-26,1327,26,10,2012
2012-10-27,1331,27,10,2012
2012-10-28,1332,28,10,2012
2012-10-29,1334,29,10,2012
2012-10-30,1334,30,10,2012
2012-10-31,1333,31,10,2012
2012-11-01,1330,1,11,2012
2012-11-02,1328,2,11,2012
2012-11-03,1325,3,11,2012
2012-11-04,1322,4,11,2012
2012-11-05,1319,5,11,2012
2012-11-06,1313,6,11,2012
2012-11-07,1304,7,11,2012
2012-11-08,1290,8,11,2012
2012-11-09,1272,9,11,2012
2012-11-10,1256,10,11,2012
2012-11-11,1243,11,11,2012
2012-11-12,1228,12,11,2012
2012-11-13,1214,13,11,2012
2012-11-14,1201,14,11,2012
2012-11-15,1189,15,11,2012
2012-11-16,1179,16,11,2012
2012-11-17,1173,17,11,2012
2012-11-18,1173,18,11,2012
2012-11-19,1177,19,11,2012
2012-11-20,1187,20,11,2012
2012-11-21,1194,21,11,2012
2012-11-22,1205,22,11,2012
2012-11-23,1219,23,11,2012
2012-11-24,1237,24,11,2012
2012-11-25,1252,25,11,2012
2012-11-26,1267,26,11,2012
