Year,MaxLevel_m
2015,15.74
2012,15.27
1999,14.87
2021,14.76
2022,14.71
2013,14.69
2019,14.68
2009,14.66
2014,14.59
2017,14.49
1994,14.48
2025,14.46
1993,14.34
2016,14.33
2011,14.24
1982,14.13
1977,14.11
2000,14.08
2023,14.06
2002,14.03
1998,13.95
2018,13.92
2020,13.9
1987,13.89
2006,13.82
1986,13.81
2001,13.75
1997,13.71
1974,13.68
2003,13.66
2008,13.66
1984,13.66
1976,13.63
1989,13.62
1975,13.55
2007,13.55
1996,13.53
1978,13.4
2005,13.26
2010,13.26
1991,13.24
1981,13.24
1979,13.12
1983,13.1
1988,12.98
1990,12.82
2024,12.63
2004,12.31
1995,12.24
1992,11.93
1980,11.59
1985,11.32
