Year,MaxLevel_m
2015,22.82
1999,22.24
2021,22.22
2012,22.13
2022,22.01
2009,21.97
2013,21.85
2025,21.79
1993,21.78
1994,21.77
2019,21.76
2014,21.75
2002,21.64
2017,21.58
1982,21.56
2003,21.47
1987,21.35
2000,21.34
1989,21.31
2023,21.29
1998,21.28
1997,21.25
2016,21.22
2011,21.21
2006,21.2
1986,21.18
2001,21.16
1984,21.08
1978,21.08
2005,21.06
1991,20.99
2007,20.99
2008,20.96
2018,20.96
2020,20.9
1979,20.79
1996,20.78
1988,20.63
1981,20.6
1983,20.5
2010,20.42
1990,20.41
2024,20.08
2004,19.93
1995,19.91
1980,19.3
1992,19.27
1985,18.9
