Year,MaxLevel_m
2012,29.97
2009,29.77
2022,29.76
1953,29.69
1976,29.61
2014,29.5
1989,29.42
1922,29.35
2013,29.33
1999,29.3
1909,29.17
1971,29.12
1975,29.11
1994,29.05
2025,29.04
1921,28.97
1982,28.97
1997,28.96
1908,28.92
2002,28.91
2006,28.84
1944,28.79
1904,28.78
1993,28.76
1918,28.74
1972,28.7
2000,28.69
2008,28.62
2011,28.62
1920,28.57
1973,28.57
1996,28.54
1955,28.53
1913,28.5
1928,28.5
1954,28.49
1951,28.47
1974,28.46
1977,28.45
1914,28.44
1925,28.43
1962,28.33
1949,28.32
1970,28.31
2023,28.28
2003,28.27
1950,28.25
1979,28.23
1990,28.23
2001,28.21
1923,28.19
2007,28.18
1943,28.18
1929,28.14
1986,28.14
1933,28.12
1978,28.11
2005,28.1
1991,28.06
1939,28.04
1984,28.03
1946,27.98
2010,27.96
1938,27.92
1987,27.91
1967,27.91
1910,27.81
1988,27.78
1932,27.76
1915,27.73
1959,27.71
1930,27.69
1935,27.67
1956,27.65
1934,27.64
1942,27.63
1952,27.58
1998,27.58
1958,27.58
1911,27.57
1927,27.56
1960,27.56
1903,27.52
1948,27.51
1969,27.4
1957,27.33
1963,27.31
1907,27.19
1995,27.16
1961,27.13
2004,27.13
1968,27.13
1941,27.09
1945,27.03
1937,26.91
2024,26.85
1981,26.85
1947,26.77
1940,26.77
1917,26.77
1931,26.66
1936,26.64
1916,26.63
1965,26.58
1983,26.52
1966,26.41
1919,26.36
1985,26.27
1924,26.09
1905,26.07
1906,26.01
1980,26.0
1964,25.91
1992,25.42
1912,24.87
1926,21.77
