Year,MaxLevel_m
2009,8.6
2021,8.5
2022,8.44
2012,8.43
2014,8.4
2013,8.2
2015,8.18
2006,8.1
2019,8.08
1989,8.0
2017,7.96
1976,7.88
2008,7.85
1999,7.85
2011,7.8
1997,7.79
2025,7.78
1975,7.73
1982,7.69
2020,7.64
2023,7.64
1994,7.64
1971,7.57
2000,7.56
1974,7.49
1996,7.44
2001,7.39
2007,7.38
1977,7.38
2005,7.36
1979,7.36
2010,7.34
1972,7.33
2018,7.32
1993,7.31
1984,7.28
2002,7.26
1978,7.25
1973,7.18
1991,7.15
1986,7.11
1990,7.0
2003,6.98
1987,6.95
1970,6.93
1988,6.92
1995,6.8
2004,6.76
2024,6.55
1968,6.48
1998,6.39
2016,6.3
1981,6.22
1985,6.2
1992,5.89
1983,5.87
1980,5.75
