Year,MinLevel_m
2024,0.03
1998,1.28
2010,1.41
2023,1.56
1988,1.76
1991,2.08
2022,2.27
1995,2.37
1999,2.54
2011,2.57
2005,2.57
1983,2.63
1997,2.7
2017,2.71
1980,2.79
2012,2.83
1979,3.05
2020,3.18
2015,3.2
2007,3.23
2021,3.38
1981,3.5
1990,3.52
2018,3.71
1992,3.82
1989,3.87
1996,3.97
2000,4.06
2016,4.17
2002,4.36
2003,4.44
2006,4.51
2001,4.64
2009,4.66
2019,4.67
2008,4.73
1978,4.79
1987,4.9
1982,5.05
1984,5.43
1994,5.53
1986,5.56
1985,5.58
2013,5.59
1976,5.66
2004,5.7
1975,5.76
1977,5.79
1974,6.32
2025,6.38
1993,6.58
2014,6.65
