Year,MinLevel_m
2024,7.17
2010,8.02
2023,8.63
1998,8.89
1995,9.2
2022,9.69
2005,9.8
1988,9.9
2011,10.07
1997,10.3
2015,10.37
2017,10.43
2018,10.47
1999,10.47
2020,10.68
1991,10.76
2012,10.79
2007,11.05
1980,11.08
1990,11.11
2006,11.13
2016,11.22
1983,11.24
1981,11.3
1979,11.36
2008,11.38
1996,11.4
2001,11.66
2000,11.75
2019,11.92
2002,11.95
2009,12.01
1989,12.05
2021,12.08
1978,12.3
1992,12.5
1987,12.78
2003,12.94
2013,13.22
1984,13.26
1982,13.4
2025,13.81
1985,13.86
2014,13.97
2004,14.16
1994,14.17
1993,14.3
1986,14.54
