Year,MinLevel_m
2024,12.16
2023,12.67
1963,13.64
2010,13.64
1906,14.2
1997,14.34
1916,14.42
1926,14.54
1958,14.74
2005,14.75
1936,14.97
1998,15.03
1909,15.04
1995,15.06
1907,15.39
1948,15.69
1950,15.74
2009,15.86
1961,15.96
2012,15.96
2015,15.98
1965,16.0
1955,16.03
1991,16.07
1911,16.08
1937,16.12
1935,16.15
1967,16.18
2022,16.19
1941,16.2
1903,16.25
1910,16.29
1990,16.32
1933,16.42
1957,16.51
1938,16.59
2020,16.6
1915,16.62
1945,16.72
1923,16.75
2011,16.76
1966,16.76
1919,16.76
2001,16.81
1943,16.84
1969,16.86
2006,16.89
1999,16.95
1929,16.98
2018,17.05
1953,17.07
1983,17.08
1952,17.14
1962,17.15
2002,17.19
2016,17.21
1981,17.24
1924,17.31
1921,17.32
1942,17.34
1979,17.44
2017,17.46
1931,17.48
1917,17.48
1914,17.5
1905,17.52
1992,17.56
1946,17.62
1954,17.63
1925,17.67
1980,17.68
1904,17.69
2007,17.74
1988,17.82
1932,17.87
1987,17.99
1976,18.05
1951,18.05
1908,18.09
1944,18.11
1928,18.19
1970,18.19
2019,18.2
1982,18.28
1960,18.33
1930,18.36
1964,18.41
2008,18.43
1918,18.51
2025,18.54
2000,18.57
1959,18.67
1927,18.78
1956,18.8
1947,18.83
2013,18.86
1971,18.87
2003,19.01
1968,19.03
1994,19.06
1996,19.14
2004,19.23
1975,19.32
1912,19.42
2021,19.44
1993,19.47
1989,19.55
1984,19.58
1940,19.58
1985,19.74
1920,19.8
1939,19.83
2014,19.88
1934,19.99
1949,19.99
1972,20.02
1978,20.12
1977,20.25
1922,20.9
1973,21.16
1913,21.24
1986,21.4
1974,21.84
