Year,MinLevel_m
2024,-1.28
2023,-0.92
1997,-0.44
2005,-0.39
1995,-0.22
1998,-0.18
2010,0.02
1991,0.36
1990,0.42
2015,0.46
2012,0.46
2009,0.56
1983,0.61
2020,0.62
2006,0.72
1981,0.76
2001,0.8
2022,0.82
2011,0.84
1999,0.85
1979,0.9
2018,0.9
1980,0.95
2017,0.95
1992,0.99
1987,1.01
2002,1.02
1988,1.02
2016,1.03
1970,1.1
2007,1.12
1976,1.2
1982,1.42
1971,1.55
2008,1.6
2025,1.63
2019,1.64
2003,1.68
2000,1.72
1996,1.73
2004,1.77
1994,1.79
1975,1.79
1984,1.81
1993,1.81
2013,1.93
1972,1.96
2021,2.18
1978,2.2
1985,2.21
1968,2.23
2014,2.25
1977,2.35
1989,2.66
1973,2.88
1986,2.99
1974,3.09
