CodigoEstacao,Nome,telem
10010000,PATATE DJ AMBATO,0
10010900,NEGRO AJ PUMANCUCHI,0
10011000,NAGSICHE P E CUSUBAMBA,0
10011100,AMBATO EN AMBATO,0
10011200,PACHANLICA AJ AMBATO,0
10011300,PASTAZA EN BANÕS,0
10011400,OZOGOCHE EN LOS LAGOS,0
10011500,ALAO EN HDA ALAO,0
10011600,PUELA AJ CHAMBO,0
10011700,GUARGUALLA AJ CEBADAS,0
10011800,PISAYAMBO AJ QUILLOPACCHA,0
10011900,VERDE AJ PASTAZA,0
10012000,PASTAZA AJ ENCANTO,0
10012500,PANO SECTOR CERRO QUILINDAÑA,0
10012600,TENIENTE HUGO ORTIZ,0
10012650,DIEZ DE AGOSTO SECTOR AUGUSTO RIVADENEIRA,0
10012700,TALAG SECTOR EL PUENTE,0
10012810,TALAG SECTOR COMUNIDAD 6 DE MARZO,0
10012920,RIO PANO EN CIUDAD DEL TENA,0
10012930,RIO PANO,0
10012931,RIO PANO,0
10012950,RIO COSANGA,0
10012955,RIO TENA DJ RIO PANO,0
10012956,MISAHUALL AJ EN EL TENA,0
10012957,UNION DEL RIO TENA CON EL PANO,0
10012958,RIO TENA,0
10012959,TENA SECTOR MALECÓN,0
10012980,COSANGA SECTOR PUENTE,0
10013000,COSANGA AJ QUIJOS,0
10013100,TERMAS DE PAPALLACTA,0
10013120,RIO PAPALACTA,0
10013200,QUIJOS EN BAEZA,0
10013300,QUIJOS AJ BORJA,0
10013380,RIO OYACACHI EN PUENTE,0
10013400,QUIJOS DJ OYACACHI,0
10013500,MISAHUALLI EN COTUNDO,0
10013550,SAN FRANCISCO DE BORJA SECTOR MINAS DE SUMACO,0
10013600,JATUNYACU DJ ILOCULLIN,0
10013650,RIO MALO,0
10013700,YANAHURCO DJ VALLE,0
10013710,RIO LUMBAQUI EN PUENTE,0
10013720,RIO AGUARICO,0
10013800,COCA EN SAN SEBASTIAN,0
10013810,SAN SEBASTIAN DEL COCA SECTOR CAÑON DE LOS MONOS),0
10013850,RIO JONDACHI,0
10013900,NAPO AJ PAYAMINO,0
10014000,FRANCISCO DE ORELLANA,0
10014005,SAN PABLO DE USHPAYACU SECTOR COM. SANTO DOMINGO,0
10014010,SECTOR PUENTE EL SALADO,0
10014100,PAYAMINO AJ NAPO,0
10014110,RIO PAYAMINO,0
10014120,PUERTO MISAHUALLI PUENTE,0
10014130,NAPO UNION MISAHUALLI,0
10014133,RIO NAPO EN PUERTO MISAHUALLI,0
10014150,RIO SUNO,0
10014230,RIO YANAYACU 3,0
10014250,RIO DE LA PARKE,0
10014300,RIO SACHA,0
10014350,RIO SACHA EN PUENTE,0
10014400,RIO EL ENO,0
10014500,JIVINO VERDE SALIDA DEL PUEBLO JIVINIO,0
10014600,LIMONCOCHA SECTOR SHUSHUFINDI,0
10015000,PUERTO FRANCISCO DE ORELLANA,0
10017000,NUEVO ROCAFUERTE,0
10017100,LA SOFIA (PUENTE),0
10017200,ROSA FLORIDA SECTOR EL PARAISO (PUENTE),0
10017250,PACAYACU SECTOR SHUARA CINCO,0
10017280,PACAYACU SECTOR PUENTE,0
10017300,EL DORADO DE CASCALES SECTOR PUENTE COLGANTE,0
10017400,SANTA CECILIA SECTOR BATALLÓN SELVA 56 TUNGURAHUA,0
10017500,NUEVA LOJA SECTOR LA PISTA,0
10018000,NUEVA LOJA,0
10018100,NUEVA LOJA SECTOR LAS GABARRAS,0
10018200,PACAYACU SECTOR BELLAVISTA,0
10018300,CUYABENO SECTOR RESERVA DE CUYABENO (PUENTE),0
10018400,PAPALLACTA SECTOR VÍA ANTIGUA A PAPALLACTA,0
10018500,GENERAL FARFAN SECTOR NUEVA MONTEPA,0
10018600,PACAYACU SECTOR PLAYA ORIENTAL,0
10018700,SANTA ELENA SECTOR EL CONEJO,0
10018750,PALMA ROJA SECTOR TACE,0
10018780,PUERTO EL CARMEN DEL PUTUMAYO SECTOR MANSAYA,0
10018800,SANTA ELENA SECTOR EL PALMAR PUENTE PEATONAL,0
10018900,PUERTO EL CARMEN DEL PUTUMAYO SECTOR AGUAS BLANCAS,0
10020000,PTE. STUART (ELECTROP),0
10028000,PUENTE COLCA - SANTO TOMÁS,0
10030000,PUENTE CUNYAC,0
10032000,PUENTE PAMPAS,0
10033000,PISAC,0
10034000,PAUCARTAMBO,0
10035000,CHACLLABAMBA,0
10038000,BALSAS,0
10038100,PUENTE BREÑA,0
10038300,RIO CUNAS,0
10038600,SHULLCAS,0
10039000,PERENE,0
10040000,TINGO MARIA,0
10041000,CAMPANILLA,0
10042000,PUENTE TOCACHE,0
10042900,REQUENA - BIAVO,0
10043000,PICOTA,0
10043200,DESAGUADERO LAGUNA SAUCE,0
10043300,SHANAO,0
10043400,CUMBAZA,0
10043500,LAGUNA SAUCE,0
10043600,CHAZUTA,0
10044000,PUENTE AGUAYTIA,0
10044200,PUERTO INCA,0
10045000,CONTAMANA,0
10045500,SHAMBOYACU,0
10046000,PUCALLPA,0
10047000,LAGARTO,0
10048000,ATALAYA,0
10048500,TROMPETEROS,0
10049000,NAUTA,0
10050000,IQUITOS,0
10051000,SANTA CLOTILDE,0
10051500,LA LIBERTAD,0
10051800,SANTA CRUZ,0
10051900,SANTA MARIA DE NANAY,0
10052000,SEDA LORETO,0
10054000,FLOR DE PUNGA,0
10055000,TIMICURILLO,0
10056000,SANTA ROSA,0
10064000,BORJA,0
10065000,SAN LORENZO,0
10070500,SAN REGIS,0
10074800,REQUENA,0
10075000,TAMISHIYACU,0
10080900,FRANCISCO DE ORELLAN,0
10082800,NUEVO ROCAFUERTE,0
10086700,MAZAN,0
10086800,BELLAVISTA,0
10090000,BOCAS DEL ATACUARI,0
10091000,PARQUE AMACAYACU,0
10092000,PTO NARINO,0
10093000,NAZARETH,0
10094000,BOCATOMA,0
10095000,LETICIA,0
10100000,TABATINGA,1
10200000,PALMEIRAS DO JAVARI,1
10300000,SANTA MARIA/FLORES,0
10500000,ESTIRÃO DO REPOUSO,1
10600000,ATALAIA DO NORTE,0
10700000,RESTAURAÇÃO,0
10800000,SERINGAL DO ITUI,0
10900000,LADÁRIO,0
10910000,LADÁRIO - JUSANTE,1
10990000,ESPERANÇA,0
11002000,MUELLE EL,0
11003000,PTE CARRETE,0
11004000,COLON,0
11005000,SIBUNDOY,0
11006000,SAN ANTÔNIO,0
11007000,EL EDEN,0
11008000,BALSAYACO-LA MARIA,0
11009000,CANAL B,0
11009100,REMOLINO,0
11010000,CANAL A,0
11011000,SAN AGUSTIN,0
11012000,PTO LEGUIZANO,0
11013000,SAN RAFAEL,0
11014000,ENCANTO EL,0
11015000,ESTRECHO-MARANDUA,0
11016000,CHORRERA LA,0
11017000,ARICA,0
11018000,BICARCO,0
11019000,TARAPACA,0
11020000,PTE CANAL D,0
11021000,STA LUCIA,0
11030000,PTE TEXAS,0
11040000,PICUDO EL,0
11050000,SAN JOAQUIN,0
11060000,CHIPAROS LO,0
11070000,REFUGIO EL,0
11080000,PTO TOLOZA,0
11200000,TERESINA,0
11300000,SÃO PAULO DE OLIVENÇA,0
11400000,SÃO PAULO DE OLIVENÇA,1
11420000,TRÊS BOCAS,0
11444900,IPIRANGA NOVO,0
11450000,IPIRANGA VELHO,0
11500000,SANTO ANTÔNIO DO IÇÁ,1
11500300,TONANTINS (ORLA),0
12100000,COLOCAÇÃO CAXIAS NOVO,1
12150000,CONCEIÇÃO (EX. ILHA DA NOVA SORTE),0
12160000,NOVO CUJUBIM,0
12180000,TANIBUCA,0
12200000,BARREIRA ALTA,0
12210000,BARREIRA ALTA NOVA (MAROÁ),0
12230000,BARREIRA BRANCA,0
12240000,PORTO SEGURO,1
12250000,PORTO ANTUNES,0
12260000,COPATANA (PORTO ANTUNES AUX),0
12260500,JUTAÍ (ORLA),0
12350000,FONTE BOA,0
12351000,FONTE BOA,1
12360000,FOZ DO BREU,0
12360001,MARECHAL THAUMATURGO,0
12369000,MARECHAL THAUMATURGO,0
12370000,THAUMATURGO,1
12389000,PORTO WALTER,0
12390000,PORTO WALTER,1
12400000,SERRA DO MOA,0
12420000,BASE SÃO SALVADOR,0
12430000,PONTE DO MOA,0
12500000,CRUZEIRO DO SUL,1
12500002,CRUZEIRO DO SUL,0
12500003,CRUZEIRO DO SUL - AUXILIAR,0
12500004,CRUZEIRO DO SUL,0
12500900,COMUNIDADE GUARANI,0
12510000,SERINGAL BOM FUTURO,0
12510500,PONTE DO RIO LIBERDADE,1
12511000,HUMAITÁ,0
12520000,IPIXUNA,1
12530000,FAZENDA PARANACRE,0
12540000,SERINGAL SANTO AMARO,1
12550000,EIRUNEPÉ - MONTANTE,1
12555000,FAZENDA MOURÃO,0
12557000,JORDÃO,1
12559000,SERINGAL SÃO LUIZ,0
12560000,SERINGAL SÃO LUIZ,0
12561000,TARAUACÁ,0
12590000,PONTE DE TARAUACÁ,1
12600000,EIRUNEPÉ - JOÃO PESSOA,0
12600001,TARAUACÁ - JUSANTE,0
12600002,TARAUACÁ,0
12630000,SERINGAL MUCURIPE,0
12640000,SERINGAL SANTA HELENA,1
12650000,FEIJÓ,1
12660000,FEIJÓ,0
12670000,FEIJÓ,0
12680000,ENVIRA,1
12700000,SANTOS DUMONT,1
12799900,CARAUARI (ORLA),0
12800000,CARAUARI,0
12840000,GAVIÃO,1
12842000,FORTE DAS GRAÇAS,1
12842050,UARINI (ORLA),0
12842100,PIEDRA LISA,0
12842200,PTO MOCOA,0
12842300,PTE PITALITO,0
12842400,ANGOSTURAS,0
12842500,PIEDRA LISA,0
12842600,YUNGUILLO,0
12842700,MILAN,0
12842800,DIAMANTE EL,0
12842900,ROSÁRIO EL,0
12843000,VENECIA,0
12843100,FLORÊNCIA,0
12843200,BOCATOMA N,0
12843300,MORELIA,0
12843400,LARANDIA,0
12843500,ITARCA,0
12843600,BOCATOMA M,0
12843700,COCATOMA 1,0
12843800,BOCATOMA 2,0
12843900,TAGUA LA,0
12843910,SAN IGNÁCIO,0
12843920,ESMERALDA LA,0
12843930,BOCATOMA,0
12843940,ALTO LA ESMERALDA,0
12843950,DONCELLO,0
12843960,PÁTIO BONITO,0
12843970,PTO RICO,0
12843990,QUILLA LA,0
12844100,ESTRECHOS LOS,0
12844110,UMANCIA,0
12844130,GUAQUIRA,0
12844140,PTO BELEN,0
12844150,MONOS LOS,0
12844160,PTO ZABALO,0
12844170,ANGOSTURAS,0
12844180,MONOCHOA,0
12844190,PTO LAS BRISAS,0
12844210,CUEMANI,0
12844220,MERCEDES LA,0
12844230,MIRANAS LAS,0
12844240,MARIA MANTECA,0
12844250,MANACARO,0
12844260,AGUAZUL,0
12844270,QUINCHE,0
12844280,PTO CORDOBA,0
12844290,PEDRERA LA,0
12844300,BACURI,0
12844400,PTO CAIMAN,0
12844500,VILLARREAL,0
12845000,VILA BITTENCOURT,1
12850000,ACANAUI,1
12860000,ABACATAL,0
12870000,BARREIRINHA,0
12872000,MARAÃ,0
12872400,SANTA ISABEL DO RIO NEGRO,0
12873000,LARANJAL,0
12875000,FAZENDA BOA ESPERANÇA,0
12880000,ESTIRÃO DA SANTA CRUZ,1
12900000,TEFÉ,0
12900001,TEFÉ - MISSÕES,1
12900002,TEFÉ - MISSÕES-TELEMÉTRICA,0
13100000,SERINGAL MOREIRA,1
13150000,ITAPÉUA,0
13150002,COARI,0
13150003,COARI,1
13150004,SANTA LUZIA DO BANANAL,0
13150010,RIO COARI,0
13150020,FOZ DO RIO COARI GRANDE,0
13155000,CODAJÁS,0
13155100,CODAJÁS,0
13160000,FAZENDA CANAVIAL,0
13169000,SANTA ROSA DO PURUS(Colonia Chambuiaco),0
13169900,SANTA ROSA DO PURUS - SEDE,1
