,index,Dt,Nivel,Doy,Yr
10042,10042,1998-01-01,1710.0,1,1998
10043,10043,1998-01-01,1706.0,1,1998
10044,10044,1998-01-02,1717.0,2,1998
10045,10045,1998-01-02,1714.0,2,1998
10046,10046,1998-01-03,1722.0,3,1998
10047,10047,1998-01-03,1720.0,3,1998
10048,10048,1998-01-04,1730.0,4,1998
10049,10049,1998-01-04,1726.0,4,1998
10050,10050,1998-01-05,1740.0,5,1998
10051,10051,1998-01-05,1736.0,5,1998
10052,10052,1998-01-06,1749.0,6,1998
10053,10053,1998-01-06,1745.0,6,1998
10054,10054,1998-01-07,1756.0,7,1998
10055,10055,1998-01-07,1753.0,7,1998
10056,10056,1998-01-08,1763.0,8,1998
10057,10057,1998-01-08,1760.0,8,1998
10058,10058,1998-01-09,1770.0,9,1998
10059,10059,1998-01-09,1766.0,9,1998
10060,10060,1998-01-10,1777.0,10,1998
10061,10061,1998-01-10,1774.0,10,1998
10062,10062,1998-01-11,1783.0,11,1998
10063,10063,1998-01-11,1780.0,11,1998
10064,10064,1998-01-12,1787.0,12,1998
10065,10065,1998-01-12,1785.0,12,1998
10066,10066,1998-01-13,1793.0,13,1998
10067,10067,1998-01-13,1790.0,13,1998
10068,10068,1998-01-14,1799.0,14,1998
10069,10069,1998-01-14,1796.0,14,1998
10070,10070,1998-01-15,1805.0,15,1998
10071,10071,1998-01-15,1804.0,15,1998
10072,10072,1998-01-16,1808.0,16,1998
10073,10073,1998-01-16,1807.0,16,1998
10074,10074,1998-01-17,1811.0,17,1998
10075,10075,1998-01-17,1810.0,17,1998
10076,10076,1998-01-18,1815.0,18,1998
10077,10077,1998-01-18,1813.0,18,1998
10078,10078,1998-01-19,1819.0,19,1998
10079,10079,1998-01-19,1818.0,19,1998
10080,10080,1998-01-20,1821.0,20,1998
10081,10081,1998-01-20,1820.0,20,1998
10082,10082,1998-01-21,1824.0,21,1998
10083,10083,1998-01-21,1823.0,21,1998
10084,10084,1998-01-22,1827.0,22,1998
10085,10085,1998-01-22,1825.0,22,1998
10086,10086,1998-01-23,1830.0,23,1998
10087,10087,1998-01-23,1830.0,23,1998
10088,10088,1998-01-24,1831.0,24,1998
10089,10089,1998-01-24,1831.0,24,1998
10090,10090,1998-01-25,1832.0,25,1998
10091,10091,1998-01-25,1832.0,25,1998
10092,10092,1998-01-26,1834.0,26,1998
10093,10093,1998-01-26,1833.0,26,1998
10094,10094,1998-01-27,1835.0,27,1998
10095,10095,1998-01-27,1835.0,27,1998
10096,10096,1998-01-28,1835.0,28,1998
10097,10097,1998-01-28,1835.0,28,1998
10098,10098,1998-01-29,1836.0,29,1998
10099,10099,1998-01-29,1836.0,29,1998
10100,10100,1998-01-30,1836.0,30,1998
10101,10101,1998-01-30,1836.0,30,1998
10102,10102,1998-01-31,1836.0,31,1998
10103,10103,1998-01-31,1836.0,31,1998
10104,10104,1998-02-01,1835.0,32,1998
10105,10105,1998-02-01,1835.0,32,1998
10106,10106,1998-02-02,1835.0,33,1998
